case,draw,strength,passed,failed,gate 1,gate 2,gate 3,gate 4,gate 5,gate 6,gate 7,Sharpe,alpha,costs a year,appraisal ratio,effective trials,DSR,neighbours holding the base,DSR against 10,DSR against 30,DSR against 100
late slow timing,165,0.0,False,2,True,False,False,False,False,False,True,0.13557,-0.15793,0.0045466,-0.73767,1,0.01922,0,,,
rotation,165,0.0,False,2,True,False,False,False,False,False,True,0.68079,-0.0015683,0.0023833,-0.057479,2,0.2272,0,,,
binary rotation,165,0.0,False,2,True,False,False,False,False,False,True,0.64861,-0.0051545,0.0034412,-0.11759,2,0.17498,0,,,
top sector,165,0.0,False,2,True,False,False,False,False,False,True,0.6399,0.0068465,0.0034029,0.065351,1,0.59805,0,,,
near benchmark,165,0.0,False,4,True,True,True,False,False,True,False,0.72476,0.0039016,0.001143,0.2874,2,0.66251,0,,,
timing,166,0.0,False,2,True,False,True,False,False,False,True,0.5198,-0.00063884,0.011164,-0.011291,1,0.48099,0,,,
slow timing,166,0.0,False,2,True,False,False,False,False,False,True,0.49301,-0.010821,0.0025818,-0.23615,1,0.16275,0,,,
selection,166,0.0,False,2,True,False,True,False,False,True,True,0.56307,0.0060907,0.011519,0.11143,10,0.13642,0,,,
slow selection,166,0.0,False,4,True,True,True,False,False,True,True,0.65771,0.019342,0.002193,0.41245,10,0.39842,0,,,
planted 0.5,166,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.822,0.051091,0.010645,0.92699,1,0.99999,0,0.99458,0.97991,0.94489
planted 0.8,166,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.71918,0.036341,0.011494,0.637,1,0.99821,0,0.89657,0.77764,0.62087
late slow timing,166,0.0,False,2,True,False,False,False,False,False,True,0.79207,-0.0075175,0.0051829,-0.034984,1,0.46135,0,,,
rotation,166,0.0,False,2,True,False,False,False,False,False,True,0.67314,-0.0030878,0.0029281,-0.11923,2,0.17475,0,,,
binary rotation,166,0.0,False,2,True,False,False,False,False,False,False,0.59516,-0.015099,0.0044032,-0.36689,2,0.043939,0,,,
